,Job Id,Job Title,Job Link,Company Name,Location,Connection Info
0,3840115282,Full Stack Engineer,https://www.linkedin.com/jobs/view/3840115282/?eBP=CwEAAAGOFEc4N_FaOiBYsQr3xeNRtK6WYGey4pjSKPjngqVJo7lFhKJifW1ibKvYTmd0rMMIkjWRuemfzPd-nm6yiHg-30K08UJV3S5VuMHebPemnr99Om4KF-j7MDIX3P3UOfuK7mBwcerPHWyPQKsB6aDLtNXz01X37LKWCvkH0fbdnGbWslVyW9aiN0pbZ__KunfFPShfWtj9SOHJpNFUPauWxmodRlLtCB0joGlU6g28A3_WVncNxyDWolA3Q-jNCgJfkWh757xzIkKOyf8fR5prgxHutCucuKWmgJXA4_og-BLhs3-HqcM1MYlaQ2k-wDWFyYL9n5NoTHA3l_ka7RfuD6o7UUiH_QFMPAeKJx9FZ_YbJwVKi-UHP5vUbfbrUYC0hNXTXx4BNxKl1wvVoDVIFTvNQg&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=s0eMUsM7fx%2FftGUZnQIxoA%3D%3D&trk=flagship3_search_srp_jobs,Xebia,"Gurugram, Haryana, India (Hybrid)",1 connection works here
1,3843647529,Python Developer,https://www.linkedin.com/jobs/view/3843647529/?eBP=CwEAAAGOFEc4NybgbmRvSKjfFdOmG2EDpumkbTGAZb_gw4gtDpc9ZPVGpUcQjVoBy63epkqpQioXh5A_8B3g6vnY_BxtS2I-z5LLjBTsNE_eGoV0I2KPnncpaLpWc41crb2myS-kGr8wbxkqFOiBTscf43A_b53-vD5PvHlcTICViyE8o061QlPfAx7Z-ZtaZzJKFBZxxr3zJPt_aKlR7CvoVcimWqaWHwvzUPnyFKEmYKEtXvV8uqSauq5PYvsEiUy61G6xGhaWCBdervjk5UTpUwIEwoMNYsR7_jVua9sJrs_0Vyut4vlxq79_kzqh5CZfczJ5fJGT07igukGyGh2HtOFgPRxl5ijejKPcttcsXYMuSBNOIAJnQw&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=zuWfwMMhqi0C4J6vqMJa4w%3D%3D&trk=flagship3_search_srp_jobs,Synechron,"Pune, Maharashtra, India (On-site)",2 school alumni work here
2,3843661728,Full Stack Engineer,https://www.linkedin.com/jobs/view/3843661728/?eBP=CwEAAAGOFEc4NzMPl-bzIDBizxFyr7pjD1_9lRHNTP2LPrOVeY9cOTdVjLskR5bO8_69xm_ti2nijKLEJPu1Ef8uIe_CVZWetqUnWB847gKSdwq511sBC_O_nMDvGxHr9LfAlN6dtVd4uP2O4lKkWiOLHQvQcYaYb7ICuhYNRiIKrj2B47fwPTkEwHvqZEFPMS4N8tyH3xZpDRez_SruSIgfS7qlI6LkynMW7SFhKFLu9xbHSCgbWEUB28yJVXsbhkDwwSuOmOXp1GySmQIiB3ih6sfOhKiNuqM5BgwJ41v_8FVR2Pii1kQ3ZqgH4GbD2WN571r_dI7KaD_a3BGcoCidocbmfOHAwtthcseZR1iNh7VxyFuWnBU1ZroGDX5Nbkaf9w0-1pgX3hZBzbqbtimJgnX758nlnw&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=yCrMZke%2FvkoVnn3ki70l6A%3D%3D&trk=flagship3_search_srp_jobs,Intuit,"Bengaluru, Karnataka, India (Hybrid)",Actively recruiting
3,3831016242,Software Engineer-Data Engineer,https://www.linkedin.com/jobs/view/3831016242/?eBP=CwEAAAGOFEc4N0kuoR2E-vt_OAjNalSdWoENC3zLy2GZrEivLP9wVlQPrxh0rjJmJ996wjzocbQ33f-UX05QDJrAoI2a_PDxAF4FcOa9c9rWe4LR_YUDRLVG3BIKyNMgvOgPshyDRFLrZ7xlAr3imSwaKcJhMugaeLlVEniVoksEZ0xIxywTspGjEoZS0L1_QFN2DRd3dvODPu1195H5MsGJ7TgJFHi9NMThb6qdrx7Lr7tPBvQ3_-4yU2PUmYNDn71W_EhEVqJKniLNGTck2LQCUmPj6vQ8g42aWQv3Hng0lYLuz2PNy9RdV09ciQ9u7kPBToXMp3PxLsj6AfJ9I0zgwl41rFSL9IjByQ-B8yOGYL29M7QznE82Px7V6hUgnuRAptLvyf__XHlq&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=MIj%2FERb33k7i4XWg8WiLmQ%3D%3D&trk=flagship3_search_srp_jobs,Clinisys,"Bengaluru, Karnataka, India (On-site)",10 company alumni work here
4,3834846276,Python Fast API Developer,https://www.linkedin.com/jobs/view/3834846276/?eBP=CwEAAAGOFEc4N1p9mxXS-z9h0eA95eHKvqheJRE3CIntEl8c1YE46RvemAU8UU3YcjelA9mIsU8V54h8r3gfdns9Mmb1xJ9kM2Ukpdji3ZXsgCgRgO3aYagqpJ12i8PgXmmBYQgCS3P5aujJ3vK-zqCxBXIR45-RRv50v6gDQPCcm2qiO4oXCMWg5B58GlrsNal580y5rmbHe-0Qwils9r3dOdVebvvCdlP7QZpCQURBW3XCBfUbdSb5nagw8fZVQidPoKzqk7IVU0AaHgvbTdgSArI2zXgeqdOUa2aUfv8zVHLL7sP-8ic4XZmskYvg3mNCJBK_5eTCrJK4gW23NKbTAlFiHU0sDnb_14_OcM4XHviiNKQUNKeg54jpzUGsgB6e2FQpVmtkOEYEwEaGOkVOnxleKAK5K7tW8sifX2ZwfBp9YPmh3USq1DJG&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=SfYPBQLvhAreuuIY2WF%2BCg%3D%3D&trk=flagship3_search_srp_jobs,Cloudifyapps,Greater Kolkata Area (On-site),Actively recruiting
5,3837547659,Cloud Python Developer,https://www.linkedin.com/jobs/view/3837547659/?eBP=CwEAAAGOFEc4N9_YWMOEqt7GTvq2n_Ptrj5gSwRbPeSdDE2CbBg0aYH9fe-ZSkqZERRO9H7G1LvPswg5N7430IkiWy4sc5I91x-cZlt9gwhOeHqppAkegnOfHeO5SRWHCyx-4u_hLHaSYmxqIp8KxqTY6URXcVQH6jWIcvzWfwGRY79fqr3hQAsNvBkUaEcevW9H5aN72-ynw80VWxmOSpAw1oZp194yfqF0ygYPbmFZbxGSIQm6gvDDNJmDg973MGmkTeqC6nazAYCr4g1XUPxH7TE2-C3F2v2R_c7SkwEHMaTpgYwh-fxoBD0KEHqR8MvDqMz54nCMNv70iZSgP9Mafk5lWtaQ5oBQUQObPU9hcjq-_SaAMOWXLLyIvIRmyrVuU0D6Bk6xeTS5cxZn03W2ceGwh31a_GMklPu_O8AcOtsHyxjRnq3qma2yG-Y&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=6SrTnxojvOJI4LaKmhPdHg%3D%3D&trk=flagship3_search_srp_jobs,CleanKoding,"Bengaluru, Karnataka, India (On-site)",Your profile matches this job
6,3747435017,"Software Engineer, Search",https://www.linkedin.com/jobs/view/3747435017/?eBP=CwEAAAGOFEc4N1p7lwzkYwDEzK8liykqVML22-voB2MX-anqlr8Hgc72PCkRDKqpC051DrqSP8eABcjrypOsctPApEQuWRG7wkCpp129r8CwHCR7sKNoFtZ5doFRnZ3qEypx0FDZmzrWjrkncI8Md_jVmB9JOzleN558a6gH_qByPmzCdFMrluI7IGGkZgMVFKVZLLBTIHWQISpNx18BBRbvn2OIZQSRhSHl7BDvux_1CyWBmeEueUIQ6v7V_buhS6sYp5EHQlQCFWRXZGIcqk6fADudIe9RoFnh782Z-JaK41OAZJfXgfVolmUTwKMk9YV7LIuaT1KFmBrlSN7QNMxL6jT80qCpJcLRNbTCyQtbRgoWqFKfkxT52wdFclH5f-QlO5F8rzcEDvRO-Gy3oEkIfIGpn0KZEg&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=pqj3sYKbemRLhNGlcHVUog%3D%3D&trk=flagship3_search_srp_jobs,Google,"Bengaluru, Karnataka, India (On-site)",12 connections work here
7,3774226400,Backend Engineer (India),https://www.linkedin.com/jobs/view/3774226400/?eBP=CwEAAAGOFEc4OE3Gh02Apw00KhmMI6dmBuKAiEPxECtccvc9JOIca0wMPp6K2VBa2VTeaJRnfCy_ujw_XKm5oyLDBvYzgfnzAtgZBDQSYp89WiU5Osn2XakREA1-PmQhef4qi5PSBZpCvTnP6NBjA8qo1gmqb5CVxpdXgkp9scBvp4NzmDft8xScoronGtRorQANWgwk-R2uTiGXJX3_QfI6jI1DnnhOEg1oFg7XBzHyVM1dRUnR-ibw2mbhFU3xjLZ24A8_WVo25HQ3Oc13hY8GqGvfOlox7D_KUHq4swCJJtZhm7DnbDsi-zRbnTnmJyEd7izKALMZX0TK2Y0mJBjDuEug5PsHOsFkWIMsCo2iOT7o-LjRuUyUaKZ4Sy0M8XxOr4vJWEkcK1n08h3da4O2QzqBK-Rzu4Tj&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=iSsa5XIs2JR5j211ZRb2XQ%3D%3D&trk=flagship3_search_srp_jobs,Onehouse,"Bengaluru, Karnataka, India (Hybrid)",Actively recruiting
8,3809344956,Software Engineer,https://www.linkedin.com/jobs/view/3809344956/?eBP=CwEAAAGOFEc4OMiVZm1HxZc6B3XH8Fg9tKqYZW74RP9RK-HloxpXRLbi4eJWvmo_VI9u8KvW32f-z6DgOfmO_9Yozks7Q0W0KKGXdJaCs5ryfwN297NYoY_d-zGnXe_kWsUcycNYXbKFcq2oOh3sw0BrrYwgCZHu5TEUl-mZ0MppEi1APAMQNqEX-rPcohkmiRoGm34P8R5AeKJrfeb3l66X85pL6IRXT9vRpxmPmPPiBaS7eVzXUjStvKOlLs7s6pVnXtqfzT9UHjJRDcAzyyfBkGvAqgcg0awg7y1fBqYRW0uK7PLS44vJq7AO0ALbrG_u1hjwNqLPRgKpB13Jsufs7RH19etf0H0S7JnzyS5NZT0IdJzJY1anAETt&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=mbkg7IvYJDCIamn0WvqVjA%3D%3D&trk=flagship3_search_srp_jobs,Volvo Cars,"Bengaluru, Karnataka, India",Actively recruiting
9,3840141729,Python Developer,https://www.linkedin.com/jobs/view/3840141729/?eBP=CwEAAAGOFEc4OGcYc8xPUJ1-93g4JdvJIvvdciQnWxcOfyvNIJk1LX9DLc18WMgB0GIGzBL_B0Nrb2uxSbfzJ3BvZBWII5-NrwNpkSF9CK3icArDk4T5uury931nG1UxtpC8tqT3jjzRS64p4crVqpoB9OSkzaG1aey5Vh_QH4Blg7LRcpu284HqErbRK_NQU8LWsNftdmv57qvHQ9ZSlmj50CkJSP_RXBrI0FPYUP8pLut2Ms5WJc6QjqKOBJX-5GA6RZ8mNSzNebDwD5YNEfIINuiB3dQoGtp2vdXQeWnlBUC_eMEOHwIZ23Tw1_85L1W1SS_PejmtvyQ1RolWOeDiGdSHBaIdH4OFputUNrpdhBFubIkpdFXeKA&refId=FGC1Ft%2BzW8sXceeCf9lEyg%3D%3D&trackingId=gMUC6oyiMUcf9Lm%2FmxZoFA%3D%3D&trk=flagship3_search_srp_jobs,SmartBots AI,"Hyderabad, Telangana, India (On-site)",
